Country,ninetythree,ninetyfour,ninetyfive,ninetysix,ninetyseven,ninetyeight,ninetynine,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone
Lithuania,0,0,0,0,0,0,1241,150,278,3305,5561,6327,7923,7641,3800,4902,4758,3160,2005,477,1380,814,703,634,1624,727,2160,2490,1410
Malaysia,4113,3656,2845,4198,8214,12932,12663,16648,13433,5893,11152,10875,7849,7110,5207,2806,3659,2782,922,959,570,224,411,4908,3258,1453,1156,3473,1898
Malta,0,0,0,0,74,0,202,510,264,131,388,1398,251,0,0,67,275,0,448,247,584,50,72,0,0,18,0,2,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,79,56,35,43,75,112,271,182,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,942,950,995,959,670,0,0,1245,690,0,511,1184,0,0,0,0
Mexico,335283,359134,389667,455406,505610,493165,483385,502509,525557,564497,592466,609225,606751,622408,559304,476366,441648,468830,440252,378692,335313,307276,276595,244895,249060,262613,237390,274757,259496
Midway Islands,0,0,0,0,0,0,0,0,0,0,0,0,255,771,53,79,56,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,159,110,0,239,2130,204,678,2985,621,545,705,321,0,0,508,0,0,0,29,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,158,0,0,0,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,3807,11755,5584,7100,9005,11197,9710,10965,15729,23961,31660,36955,55076,63390,46857,61533,51251,39241,36392,36251,32442,30978,20814,21893,22801,22811,41311,30156,46117
Netherlands Antilles,29991,35791,18983,23478,26904,29836,23792,32941,29484,29486,25415,10641,10663,11706,3185,3732,3631,907,3876,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,462,1424,498,779,0,0,0,0,0,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,19,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,78,0,151,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,51862,73637,99803,114523,112733,86180,110794,125719,124542,143336,98565,89374,85197,71603,51970,37303,39389,32634,41259,27598,19729,16559,22141,27841,28780,34426,33034,10585,26184
